ID;Nom;Parent;Parent-ID;Synonymes;Ordre;Nb. fils;Nb. desc.;Nb. Pub.
c_1151805;Bactéries;Infections;c_64679;"Bactéries
Infections bactériennes";0;0;0;902
c_1151806;Parasites et mycoses;Infections;c_64679;"Parasites et mycoses
Infections parasitaires et mycoses
Mycoses et parasites";3;0;0;319
c_1151807;Virus;Infections;c_64679;"Infections virales
Virus";4;0;0;953
c_1151808;Infections sexuellement transmissibles;Infections;c_64679;"Infections sexuellement transmissibles
IST
MST";2;0;0;433
c_1151809;Oreilles;ORL;c_64695;;3;0;0;239
c_1151811;Larynx;ORL;c_64695;;1;0;0;31
c_1151813;Nez et sinus;ORL;c_64695;"Nez et sinus
Sinus et nez";2;0;0;228
c_1151814;Pharynx;ORL;c_64695;;4;0;0;94
c_1151817;Vessie;Système urinaire;c_64704;;5;0;0;56
c_1151818;Urètre;Système urinaire;c_64704;;4;0;0;32
c_1151819;Uretère;Système urinaire;c_64704;;3;0;0;16
c_1151820;Miction;Système urinaire;c_64704;;1;0;0;168
c_1151821;Anévrysmes et malformations vasculaires;Vaisseaux sanguins;c_1149856;;0;0;0;200
c_1151822;Embolies, thromboses et sténoses;Vaisseaux sanguins;c_1149856;"Embolies
Thromboses
Sténoses";2;0;0;369
c_1151823;Hypertension artérielle;Vaisseaux sanguins;c_1149856;;3;0;0;549
c_1151828;Aorte;Vaisseaux sanguins;c_1149856;;1;0;0;221
c_1151829;Vaisseaux périphériques;Vaisseaux sanguins;c_1149856;"Vaisseaux périphériques
Angiopathies périphériques";5;0;0;286
c_1151830;Troubles cérébrovasculaires;Vaisseaux sanguins;c_1149856;;4;0;0;273
c_1151831;Perte de conscience;Maladies et états de santé;c_64654;;0;0;0;13
c_1151832;Alzheimer et troubles cognitifs;Troubles mentaux et comportementaux;c_64700;"Alzheimer et troubles cognitifs
Troubles cognitifs et Alzheimer";2;0;0;181
c_1151833;Dépression et troubles de l'humeur;Troubles mentaux et comportementaux;c_64700;"Dépression et troubles de l?humeur
Troubles de l'humeur et dépression";4;0;0;226
c_1151835;Schizophrénie et troubles délirants;Troubles mentaux et comportementaux;c_64700;"Schizophrénie et troubles délirants
Troubles délirants et schizophrénie";5;0;0;135
c_1151836;Alimentation et sommeil;Troubles mentaux et comportementaux;c_64700;"Alimentation et sommeil
Sommeil et alimentation";1;0;0;168
c_1151837;Anxiété et névroses;Troubles mentaux et comportementaux;c_64700;"Anxiété et névroses
Névroses et anxiété";3;0;0;154
c_1151838;Troubles personnalité et comportement adulte;Troubles mentaux et comportementaux;c_64700;;7;0;0;63
c_1151840;Troubles neurodéveloppementaux;Troubles mentaux et comportementaux;c_64700;;6;0;0;118
c_1151841;Contraception, IVG et stérilisation;Grossesse et reproduction;c_1151633;;0;0;0;227
c_1151842;Infertilité et assistance médicale à la procréation;Grossesse et reproduction;c_1151633;"Assistance médicale à la procréation et infertilité
Infertilité et assistance médicale à la procréation";0;0;0;104
c_1151845;Grossesse;Grossesse et reproduction;c_1151633;;0;0;0;402
c_1151849;Ménopause, andropause;Grossesse et reproduction;c_1151633;"Ménopause
Andropause";0;0;0;232
c_1151855;Psychothérapies;Diagnostic et traitements;c_64705;;0;0;0;30
c_1151856;Radiothérapie et autres agents physiques;Diagnostic et traitements;c_64705;;0;0;0;103
c_1151857;Traitement médicamenteux;Diagnostic et traitements;c_64705;;0;0;0;10625
c_1151858;Télémédecine;E-santé;c_2839724;;0;0;0;142
c_1151859;Visite médicale;Économie et santé publique;c_64710;"Visite médicale
Information promotionnelle";1;0;0;24
c_1151890;Chirurgie ophtalmologique;Procédures chirurgicales;c_1151644;;4;0;0;47
c_1151891;Procédures opératoires;Procédures chirurgicales;c_1151644;;12;0;0;111
c_1151892;Chirurgie urogénitale;Procédures chirurgicales;c_1151644;;9;0;0;67
c_1151893;Chirurgie pulmonaire;Procédures chirurgicales;c_1151644;;8;0;0;9
c_1151894;Chirurgie ORL;Procédures chirurgicales;c_1151644;;6;0;0;29
c_1213255;Procédures à visée reconstructrice et esthétique;Diagnostic et traitements;c_64705;;0;0;0;20
c_1213256;Prothèses et implants;Diagnostic et traitements;c_64705;"Prothèses et implants
Implants et prothèses";0;0;0;1810
c_1213258;Santé au travail;Économie et santé publique;c_64710;"Santé au travail
Médecine du travail";0;0;0;64
c_1218060;Autres procédures chirurgicales;Procédures chirurgicales;c_1151644;;13;0;0;110
c_1218063;Techniques et procédures de diagnostic - divers;Techniques et procédures de diagnostic;c_1151639;;0;0;0;56
c_1218066;Cancers - divers;Maladies et états de santé;c_64654;;13;0;0;274
c_1218070;Maladies bucco-dentaires - divers;Bouche et dents;c_64668;;3;0;0;56
c_1218072;Cardiopathies - divers;C?ur;c_64663;;6;0;0;114
c_1218074;Maladies digestives - divers;Appareil digestif;c_64672;;4;0;0;78
c_1218078;Maladies de l'appareil locomoteur - divers;Appareil locomoteur;c_1151778;;5;0;0;287
c_1218080;Maladies respiratoires - divers;Appareil respiratoire;c_64698;;5;0;0;51
c_1218082;Maladies sang et lymphe - divers;Sang et lymphe;c_64675;;5;0;0;57
c_1218084;Maladies immunitaires - divers;Système immunitaire;c_64657;;3;0;0;25
c_1218086;Maladies système nerveux - divers;Système nerveux;c_64688;;5;0;0;88
c_1218088;Maladies endocriniennes et métaboliques - divers;Métabolisme et système endocrinien;c_64671;;5;0;0;7
c_1218090;Maladies infectieuses - divers;Infections;c_64679;;5;0;0;97
c_1218092;Maladies ORL - divers;ORL;c_64695;;5;0;0;29
c_1218094;Maladies urologiques - divers;Système urinaire;c_64704;;6;0;0;66
c_1218096;Maladies vasculaires - divers;Vaisseaux sanguins;c_1149856;;6;0;0;80
c_1218098;Troubles mentaux et comportementaux - divers;Troubles mentaux et comportementaux;c_64700;;8;0;0;79
c_1218100;Indicateurs;Qualité des soins et de l?accompagnement;c_1234312;;0;0;0;402
c_1234312;Qualité des soins et de l?accompagnement;Thématique;j_7;;8;6;29;12746
c_2616939;Vaccins;Diagnostic et traitements;c_64705;;0;0;0;387
c_2839723;Perte d?autonomie;Maladies et états de santé;c_64654;;0;0;0;12
c_2839724;E-santé;Diagnostic et traitements;c_64705;;0;2;2;294
c_2839727;Aidants;Populations spécifiques;c_1151628;"Aidants
Proches aidants";0;0;0;6
c_2839732;Inclusion sociale;Populations spécifiques;c_1151628;;0;0;0;27
p_3203414;COVID-19;Infections;c_64679;"SARS-CoV-2
COVID-19";1;0;0;218
